"name","group"
"Alabama",0
"Connecticut",0
"Delaware",0
"Georgia",0
"Illinois",0
"Indiana",0
"Kentucky",0
"Louisiana",0
"Maine",0
"Maryland",0
"Massachusetts",0
"Mississippi",0
"Missouri",0
"New Hampshire",0
"New Jersey",0
"New York",0
"North Carolina",0
"Ohio",0
"Pennsylvania",0
"Rhode Island",0
"South Carolina",0
"Tennessee",0
"Vermont",0
"Virginia",0
"Arkansas",1
"California",1
"Colorado",1
"Florida",1
"Iowa",1
"Kansas",1
"Michigan",1
"Minnesota",1
"Nebraska",1
"Nevada",1
"Oregon",1
"Texas",1
"West Virginia",1
"Wisconsin",1
"Arizona",2
"Idaho",2
"Montana",2
"New Mexico",2
"North Dakota",2
"Oklahoma",2
"South Dakota",2
"Utah",2
"Washington",2
"Wyoming",2
"Alaska",3
"Hawaii",3
